id,countryCode,month,year,regionCode,numberVisitors
drv_160,es,9,2018,5,1039221
drv_161,es,8,2018,5,1098384
drv_162,es,7,2018,5,1120219
drv_163,es,6,2018,5,1001434
drv_164,es,5,2018,5,967209
drv_165,es,4,2018,5,1103003
drv_166,es,3,2018,5,1347702
drv_167,es,2,2018,5,1192866
drv_168,es,1,2018,5,1183486
drv_169,es,12,2017,5,1256370
drv_170,es,11,2017,5,1239853
drv_171,es,10,2017,5,1309652
drv_172,es,9,2017,5,1111400
drv_173,es,8,2017,5,1165967
drv_174,es,7,2017,5,1186481
drv_175,es,6,2017,5,1034652
drv_176,es,5,2017,5,993431
drv_177,es,4,2017,5,1255062
drv_178,es,3,2017,5,1283939
drv_179,es,2,2017,5,1183979
drv_180,es,1,2017,5,1193435
drv_181,es,12,2016,5,1250412
drv_182,es,11,2016,5,1162023
drv_183,es,10,2016,5,1270466
drv_184,es,9,2016,5,994235
drv_185,es,8,2016,5,1111644
drv_186,es,7,2016,5,1140679
drv_187,es,6,2016,5,936941
drv_188,es,5,2016,5,899045
drv_189,es,4,2016,5,1064849
drv_190,es,3,2016,5,1206148
drv_191,es,2,2016,5,1114746
drv_192,es,1,2016,5,1108379
drv_193,es,12,2015,5,1054142
drv_194,es,11,2015,5,1103158
drv_195,es,10,2015,5,1094268
drv_196,es,2,2021,9,54020
drv_197,es,1,2021,9,85265
drv_198,es,12,2020,9,97305
drv_199,es,11,2020,9,58794
drv_200,es,10,2020,9,230580
drv_201,es,9,2020,9,276064
drv_202,es,8,2020,9,459271
drv_203,es,7,2020,9,436742
drv_204,es,6,2020,9,76634
drv_205,es,5,2020,9,0
drv_206,es,4,2020,9,0
drv_207,es,3,2020,9,406683
drv_208,es,2,2020,9,966356
drv_209,es,1,2020,9,870157
drv_210,es,12,2019,9,993169
drv_211,es,11,2019,9,1047153
drv_212,es,10,2019,9,1676430
drv_213,es,9,2019,9,2011704
drv_214,es,8,2019,9,2363331
drv_215,es,7,2019,9,2378593
drv_216,es,6,2019,9,2176726
drv_217,es,5,2019,9,1835129
drv_218,es,4,2019,9,1671426
drv_219,es,3,2019,9,1280871
drv_220,es,2,2019,9,1030292
drv_221,es,1,2019,9,910329
drv_222,es,12,2018,9,969322
drv_223,es,11,2018,9,1034633
drv_224,es,10,2018,9,1665215
drv_225,es,9,2018,9,2007474
drv_226,es,8,2018,9,2433300
drv_227,es,7,2018,9,2427842
drv_228,es,6,2018,9,2104373
drv_229,es,5,2018,9,1885365
drv_230,es,4,2018,9,1570899
drv_231,es,3,2018,9,1217330
drv_232,es,2,2018,9,1015793
drv_233,es,1,2018,9,864798
drv_234,es,12,2017,9,822765
drv_235,es,11,2017,9,981462
drv_236,es,10,2017,9,1497032
drv_237,es,9,2017,9,1999689
drv_238,es,8,2017,9,2567612
drv_239,es,7,2017,9,2557125
drv_240,es,6,2017,9,2026356
drv_241,es,5,2017,9,1920946
drv_242,es,4,2017,9,1755019
drv_243,es,3,2017,9,1155003
drv_244,es,2,2017,9,989198
drv_245,es,1,2017,9,846213
drv_246,es,12,2016,9,956468
drv_247,es,11,2016,9,1009971
drv_248,es,10,2016,9,1562897
drv_249,es,9,2016,9,1876937
drv_250,es,8,2016,9,2501193
drv_251,es,7,2016,9,2394803
drv_252,es,6,2016,9,1850823
drv_253,es,5,2016,9,1630433
drv_254,es,4,2016,9,1483021
drv_255,es,3,2016,9,1076434
drv_256,es,2,2016,9,930354
drv_257,es,1,2016,9,865842
drv_258,es,12,2015,9,890133
drv_259,es,11,2015,9,1029270
drv_260,es,10,2015,9,1521926
drv_261,es,2,2021,10,28066
drv_262,es,1,2021,10,49727
drv_263,es,12,2020,10,71865
drv_264,es,11,2020,10,53946
