id,countryCode,month,year,lengthStay,numberVisitors,annualAccumulated
lsv_125,es,3,2016,1,212923,540131
lsv_126,es,2,2016,1,153753,327208
lsv_127,es,1,2016,1,173454,173454
lsv_128,es,12,2015,1,222695, 
lsv_129,es,11,2015,1,187120, 
lsv_130,es,10,2015,1,298899, 
lsv_131,es,2,2021,2,48507,121005
lsv_132,es,1,2021,2,72498,72498
lsv_133,es,12,2020,2,93428,3288654
lsv_134,es,11,2020,2,67106,3195226
lsv_135,es,10,2020,2,173058,3128120
lsv_136,es,9,2020,2,204729,2955061
lsv_137,es,8,2020,2,240365,2750332
lsv_138,es,7,2020,2,296274,2509967
lsv_139,es,6,2020,2,54241,2213693
lsv_140,es,5,2020,2,0,2159452
lsv_141,es,4,2020,2,0,2159452
lsv_142,es,3,2020,2,431721,2159452
lsv_143,es,2,2020,2,938806,1709417
lsv_144,es,1,2020,2,770611,770611
lsv_145,es,12,2019,2,967116,15486323
lsv_146,es,11,2019,2,1095218,14519207
lsv_147,es,10,2019,2,1439641,13423989
lsv_148,es,9,2019,2,1538002,11984348
lsv_149,es,8,2019,2,1102250,10446346
lsv_150,es,7,2019,2,1326377,9344097
lsv_151,es,6,2019,2,1799189,8017720
lsv_152,es,5,2019,2,1717715,6218531
lsv_153,es,4,2019,2,1365115,4500815
lsv_154,es,3,2019,2,1299335,3135701
lsv_155,es,2,2019,2,992167,1836366
lsv_156,es,1,2019,2,844199,844199
lsv_157,es,12,2018,2,1024183,14606759
lsv_158,es,11,2018,2,1050041,13582575
lsv_159,es,10,2018,2,1436361,12532534
lsv_160,es,9,2018,2,1468373,11096173
lsv_161,es,8,2018,2,1107958,9627800
lsv_162,es,7,2018,2,1406544,8519842
lsv_163,es,6,2018,2,1468263,7113298
lsv_164,es,5,2018,2,1580003,5645035
lsv_165,es,4,2018,2,1376084,4065032
lsv_166,es,3,2018,2,1065433,2688947
lsv_167,es,2,2018,2,918572,1623515
lsv_168,es,1,2018,2,704943,704943
lsv_169,es,12,2017,2,884595,14235659
lsv_170,es,11,2017,2,906849,13351063
lsv_171,es,10,2017,2,1358733,12444214
lsv_172,es,9,2017,2,1424102,11085481
lsv_173,es,8,2017,2,1194406,9661379
lsv_174,es,7,2017,2,1346458,8466973
lsv_175,es,6,2017,2,1422890,7120515
lsv_176,es,5,2017,2,1715795,5697625
lsv_177,es,4,2017,2,1210836,3981830
lsv_178,es,3,2017,2,1095454,2770994
lsv_179,es,2,2017,2,957683,1675541
lsv_180,es,1,2017,2,717858,717858
lsv_181,es,12,2016,2,830007,12249237
